ifcguid,exit,height,rough_height,storey_exit,type_ifcguid,classification
0zk4WfOuPFg8xQ3bt9abzc,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzk,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzj,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abze,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9abzt,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9abz_,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzv,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzu,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abz6,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9abz8,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9abzL,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzJ,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abzH,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abye,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abyt,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abyq,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9aby3,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abyB,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abyA,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9abyN,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9ab$p,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9ab$N,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
0zk4WfOuPFg8xQ3bt9ab$V,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
0zk4WfOuPFg8xQ3bt9ab_Z,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NE8,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NE0,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NE1,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NEQ,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
1W6Thknzf2qup40FGN1NER,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
1W6Thknzf2qup40FGN1NEG,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NEL,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDg,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDv,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1ND_,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1ND$,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDy,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDz,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDo,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
